"","TRTID10","tract.x","POP70","HU70","VAC70","OWN70","RENT70","tract.y","POP80","HU80","VAC80","MHMVAL80","MRENT80","OWN80","RENT80","tract.x.x","POP90","HU90","VAC90","MHMVAL90","MRENT90","OWN90","RENT90","tract.y.y","POP00","HU00","VAC00","FAMILY00","FHH00","OWN00","RENT00","tract","pop10","hu10","vac10","family10","fhh10","own10","rent10","MEDINC"
"1",27053000101,"Census Tract 1.01",4011.513002,1145.157129,8.996535174,1027.295732,108.8648328,"Census Tract 1.01",3250.761524,1175.125873,11.98545351,53751.08054,257.9953465,1030.294835,132.845679,"Census Tract 1.01",3000.867925,1180.370356,27.01466908,66002.18337,450.0060254,1006.265294,147.0903936,"Census Tract 1.01",3170.901016,1116.366735,16.00600474,732.2215359,131.0271392,1004.269456,96.09127422,"Census Tract 1.01",3031,1139,90,691,144,871,178,28528
"2",27053000102,"Census Tract 1.02",6280.898627,1989.584082,18.31051767,1573.797052,397.476511,"Census Tract 1.02",5008.984252,1972.596725,41.73193449,44450.04277,225.9092302,1557.553074,373.3117142,"Census Tract 1.02",4517.811816,1886.8344,59.45479596,57757.40531,433.905894,1524.884289,302.4953136,"Census Tract 1.02",4448,1705,59,980,207,1406,240,"Census Tract 1.02",4569,1879,191,976,258,1185,503,27237
"3",27053000300,"Census Tract 3",3865.000002,1417,23,1241,153,"Census Tract 3",3394.000002,1409,21,52650.00002,229.0000001,1223,165,"Census Tract 3",3433.000002,1418,43,70100.00003,394.0000002,1206,169,"Census Tract 3",3491,1399,29,860,139,1218,152,"Census Tract 3",3173,1401,79,752,115,1121,201,42708
"4",27053000601,"Census Tract 6.01",6304.2453,2095.950325,29.34629154,1697.705311,368.8987198,"Census Tract 6.01",5470.093722,2194.338104,36.25939178,50672.47988,226.5627207,1760.225403,397.8533096,"Census Tract 6.01",5096.436932,2151.13969,56.4247731,67458.89724,415.2584624,1696.608458,398.106348,"Census Tract 6.01",4837,2127,49,1142,156,1692,386,"Census Tract 6.01",4641,2130,136,1062,143,1580,414,33491
"5",27053000603,"Census Tract 6.03",4149.669924,1313.545223,11.69885498,1194.114902,107.731472,"Census Tract 6.03",3318.844807,1297.449341,5.444243431,57546.65929,261.2273371,1205.940163,86.06492805,"Census Tract 6.03",3036.25951,1319.849415,17.23112345,73656.40126,454.833137,1220.227985,82.39026833,"Census Tract 6.03",2788,1298,20,767,59,1224,54,"Census Tract 6.03",2749,1300,57,692,37,1159,84,43589
"6",27053001100,"Census Tract 11",3123.000015,1110,36,565,509,"Census Tract 11",2432.000011,1042,31,45920.00021,212.000001,530,481,"Census Tract 11",2342.000011,1054,61,64500.0003,383.0000018,510,483,"Census Tract 11",2175,937,45,445,89,544,348,"Census Tract 11",2027,936,99,417,71,482,355,27083
"7",27053001700,"Census Tract 17",2400.999992,963,29,435,499,"Census Tract 17",1894.999994,929,37,42266.99987,191.9999994,422,470,"Census Tract 17",1852.999994,909,64,58799.99982,364.9999989,401,444,"Census Tract 17",2030,950,56,419,75,486,408,"Census Tract 17",2335,1089,133,476,122,404,552,22095
"8",27053002200,"Census Tract 22",2444.707099,848.3817749,28.49308968,292.76651,527.1221313,"Census Tract 22",1888.64132,773.0008545,56.98163605,40000.00127,205.0000014,276.6608276,439.3583984,"Census Tract 22",1824.911859,704.7728882,108.7149658,50000.0014,366.9999864,225.6772614,370.3806458,"Census Tract 22",1724,511,46,333,146,190,275,"Census Tract 22",1427,486,96,292,116,171,219,12024
"9",27053002400,"Census Tract 24",3022.999978,1132,47,431,654,"Census Tract 24",2223.999984,1121,35,39476.99972,195.9999986,415,671,"Census Tract 24",2105.999985,1122,88,57099.99959,367.9999974,370,664,"Census Tract 24",2005,982,51,376,84,389,542,"Census Tract 24",2250,1196,117,413,103,363,716,27917
"10",27053002700,"Census Tract 27",3341.00001,1034,60,621,353,"Census Tract 27",2604.000008,928,64,40327.00012,206.0000006,604,260,"Census Tract 27",2498.000008,913,112,54200.00017,370.0000011,543,258,"Census Tract 27",2822,903,55,625,232,567,281,"Census Tract 27",2583,888,88,556,214,478,322,15789
